Наименование;Артикул;Категория;Состояние;Описание;Цена
Мангал "Огонёк Базовый" сталь 4 мм термоэмаль;MNG-001;Мангалы;новый;Жаровня 80 см металл 4 мм печь 45x45 см шамотный кирпич термостойкая эмаль до 1200 °C полка дровница;63000
Мангал "Огонёк Двойной" барбекю-комплекс;MNG-002;Мангалы;новый;Печь 45x45 см крыша + крышка барбекю металл 4 мм отделка лиственницей сибирской;111300
Мангал-барбекю "Силач 140" с коптильней;MNG-003;Мангалы;новый;Длина 140 см ширина 45 см металл 4 мм коптильня встроенная лиственница полка для посуды;67900
Уличная кухня "Северный Ветер HPL" 295 см;MNG-004;Мангалы;новый;Длина 295 см ширина 65 см HPL-панели полная комплектация печь для казана рабочая поверхность;164500
Мангал "Богатырь П-форма" премиум комплекс;MNG-005;Мангалы;новый;Ширина 270 см П-образная место под тандыр металл 4 мм;521920
Костровая чаша 80 см;MNG-006;Мангалы;новый;Диаметр 80 см глубина 25 см сталь 4 мм термостойкая эмаль до 1200 °C ножки съёмные;20860
Ворота раздвижные (откатные) под заказ;VRT-001;Ворота и заборы;новый;Раздвижные ворота с роликовой системой под автоматику ширина проёма любая покраска по RAL;45000
Ворота распашные с калиткой под заказ;VRT-002;Ворота и заборы;новый;Две створки с калиткой или отдельной дверцей под любую ширину проёма автоматика покраска по RAL;35000
Забор металлический с калиткой;VRT-003;Ворота и заборы;новый;Из профнастила металлического штакетника или сетки глухой или просматриваемый калитка с замком;25000
Забор с декоративными элементами;VRT-004;Ворота и заборы;новый;Металлический забор с декоративными вставками ковкой или геометрическими элементами покраска по RAL;30000
Перила декоративные для крыльца и участка;VRT-005;Ворота и заборы;новый;Декоративные перила для крыльца лестницы участка из металла с элементами ковки покраска по RAL;15000
Декоративные ворота с ковкой;VRT-006;Ворота и заборы;новый;Ворота с декоративными элементами ковки завитки листья наконечники под автоматику или ручные;40000
Автонавес для машины 1 машина;NAV-001;Навесы;новый;Открытый навес на 1 машину ширина от 3 м каркас профильная труба кровля профнастил или поликарбонат;28000
Автонавес для машины 2 машины;NAV-002;Навесы;новый;Открытый навес на 2 машины ширина от 5 м каркас профильная труба кровля профнастил или поликарбонат;45000
Навес промышленный;NAV-003;Навесы;новый;Большой навес для производственных или складских нужд каркас усиленный кровля профнастил;55000
