Категория,Товар,Цена,Ед.изм,Фото,Описание
Мангалы,Мангал "Огонёк" базовый,"31 400",шт,04-мангал-огонёк-базовый,"Жаровня 80 см, металл 4 мм, термоэмаль 1200°C, шамотный кирпич, печь 45x45 см"
Мангалы,Мангал "Огонёк" двойной,"42 200",шт,04-мангал-огонёк-базовый,"Барбекю-комплекс, крыша + крышка, металл 4 мм, термоэмаль"
Мангалы,Мангал "Силач-140","67 900",шт,05-мангал-силач-140,"Длина 140 см, коптильня, лиственница, сталь 4 мм, термоэмаль 1200°C"
Мангалы,Костровая чаша 80 см,"20 860",шт,06-костровая-чаша,"Диаметр 80 см, глубина 25 см, сталь 4 мм, съёмные ножки"
Мангалы,Уличная кухня "Северный ветер","164 500",шт,07-мангал-северный-ветер,"295 см, HPL-панели, встроенная печь для казана, коптильня, рабочая поверхность"
Мангалы,Мангал "Богатырь","57 900",шт,04-мангал-огонёк-базовый,"П-образный комплекс, металл 4 мм, казан + барбекю"
Мангалы,Жаровня для шашлыка,"12 900",шт,04-мангал-огонёк-базовый,"Складная, сталь 3 мм, ножки, решётка"
Мангалы,Казан 70 л с подставкой,"18 500",шт,04-мангал-огонёк-базовый,"Чугунный, диаметр 55 см, подставка в комплекте"
Ворота,Ворота распашные стандарт,"25 000",шт,08-ворота-и-заборы,"Две створки, калитка, покраска по RAL, замок"
Ворота,Ворота распашные с автоматикой,"45 000",шт,08-ворота-и-заборы,"Привод Nice, пульт управления, фотоэлементы"
Ворота,Ворота откатные 4 м,"35 000",шт,08-ворота-и-заборы,"Роликовая система, направляющая, уловитель"
Ворота,Ворота откатные с автоматикой,"55 000",шт,08-ворота-и-заборы,"Раздвижные, привод, пульт, сигнальная лампа"
Ворота,Калитка входная,"12 000",шт,08-ворота-и-заборы,"Металлическая, замок, ручка, покраска по RAL"
Ворота,Забор из профнастила,"1 200",м.п.,08-ворота-и-заборы,"Профнастил С-8, столбы 60x60, лаги, покраска"
Ворота,Забор металлический штакетник,"1 800",м.п.,08-ворота-и-заборы,"Штакетник 25 мм, столбы, лаги, покраска"
Ворота,Забор с ковкой,"2 500",м.п.,08-ворота-и-заборы,"Декоративные вставки, ковка, покраска по RAL"
Ворота,Забор из сетки-рабицы,"800",м.п.,08-ворота-и-заборы,"Сетка 50x50, столбы, натяжение"
Навесы,Навес для авто 1 машина,"15 000",шт,09-навесы,"3x6 м, каркас профильная труба, кровля профнастил"
Навесы,Навес для авто 2 машины,"28 000",шт,09-навесы,"6x6 м, усиленный каркас, кровля поликарбонат"
Навесы,Навес входной козырёк,"8 000",шт,09-навесы,"1.5x1 м, профнастил, крепление к стене"
Навесы,Навес для мангала,"22 000",шт,09-навесы,"3x4 м, отверстие для дымохода, профнастил"
Навесы,Навес промышленный,"25 000",шт,09-навесы,"Усиленный каркас, кровля профнастил, от 50 м²"
Навесы,Навес для дров,"6 000",шт,09-навесы,"2x1 м, открытый, профнастил"
Лестницы,Лестница прямая одномаршевая,"35 000",шт,10-лестницы,"Сварной каркас, рифлёные ступени, покраска"
Лестницы,Лестница с поворотом,"55 000",шт,10-лестницы,"Двухмаршевая, площадка, перила"
Лестницы,Лестница на второй этаж наружная,"65 000",шт,10-лестницы,"С площадкой, перила, антикоррозийная покраска"
Лестницы,Лестница винтовая,"85 000",шт,10-лестницы,"Диаметр 90 см, ступени из листа, поручень"
Лестницы,Крыльцо металлическое,"30 000",шт,10-лестницы,"3 ступени, каркас, под облицовку деревом/камнем"
Лестницы,Пандус для инвалидов,"45 000",шт,10-лестницы,"По ГОСТ, нержавеющие поручни, покраска"
Перила,Перила кованные прямые,"3 000",м.п.,11-кованые-перила-декор,"Элементы ковки, поручень, покраска по RAL"
Перила,Перила кованные с витками,"4 500",м.п.,11-кованые-перила-декор,"Декоративные завитки, поручень из лиственницы"
Перила,Перила из нержавейки,"5 000",м.п.,11-кованые-перила-декор,"Нержавеющая сталь, шлифовка, крепёж"
Ограждения,Ограждение балкона металлическое,"2 500",м.п.,12-ограждения-на-балконы,"Высота 1.1 м, вертикальные стойки, покраска"
Ограждения,Ограждение балкона панорамное,"6 000",м.п.,12-ограждения-на-балконы,"Металл + стекло триплекс, вид не закрывают"
Ограждения,Ограждение террасы,"3 500",м.п.,12-ограждения-на-балконы,"Горизонтальные линии, покраска по RAL"
Полки,Стеллаж для гаража 5 полок,"5 000",шт,13-полки-стеллажи,"Высота 1.8 м, нагрузка 100 кг/полка, сварной"
Полки,Стеллаж для кладовки,"3 500",шт,13-полки-стеллажи,"3 полки, компактный, под размер"
Полки,Полки настенные 3 шт,"2 500",компл,13-полки-стеллажи,"Для инструмента, разной ширины"
Полки,Кронштейны для полок,"500",шт,13-полки-стеллажи,"Сварные, усиленные, под полку 30 см"
Мостики,Мостик декоративный через ручей,"15 000",шт,14-мостики,"Ширина 1 м, длина 3 м, деревянный настил"
Мостики,Мостик с коваными перилами,"25 000",шт,14-мостики,"Ковка, поручень, деревянный настил"
Мостики,Мостик садовый малый,"8 000",шт,14-мостики,"Ширина 0.8 м, без перил, минималистичный"
Тамбуры,Тамбур входной утеплённый,"15 000",шт,15-тамбуры,"Каркас 40x20, профнастил, утепление 50 мм"
Тамбуры,Тамбур с вытяжкой,"20 000",шт,15-тамбуры,"Для помещений с печью, вентиляция"
Тамбуры,Тамбур для бытовки,"18 000",шт,15-тамбуры,"Готовая конструкция, ставится на фундамент"
Теплицы,Теплица арочная 3x4 м,"25 000",шт,16-теплицы,"Профильная труба 20x20, поликарбонат 4 мм"
Теплицы,Теплица арочная 3x6 м,"35 000",шт,16-теплицы,"Профильная труба 30x30, поликарбонат 6 мм"
Теплицы,Теплица с фундаментом,"42 000",шт,16-теплицы,"Ленточный фундамент, усиленный каркас"
Услуги,Сварочные работы TIG,"500",руб/час,02-сварочные-работы,"Нержавейка, алюминий, точная сварка"
Услуги,Сварочные работы MMA,"400",руб/час,02-сварочные-работы,"Чёрный металл, любая толщина"
Услуги,Покраска металла порошковая,"300",руб/м2,03-покраска-металла,"Любой цвет RAL, устойчивое покрытие"
Услуги,Пескоструйная обработка,"200",руб/м2,03-покраска-металла,"Подготовка металла перед покраской"
Услуги,Металлоконструкции по запросу,—,—,01-металлоконструкции-под-ключ,"Вторые этажи, входные группы, фасады"
